,Date,Price per unit,Price
0,2020-3-3,1.24,2.48
1,2020-4-4,1.48,2.96
2,2020-4-18,1.68,5.04
3,2020-5-2,1.68,3.36
4,2020-6-20,1.68,1.68
5,2020-7-11,1.68,3.36
6,2020-8-10,1.68,1.68
7,2020-9-5,1.68,3.36
8,2020-9-26,1.68,3.36
9,2020-10-11,1.0,2.0
10,2020-10-25,1.66,1.66
11,2020-11-28,1.68,1.68
12,2020-12-5,0.98,1.96
13,2021-1-31,1.68,3.36
14,2021-2-16,1.28,1.28
15,2021-3-6,1.68,1.68
16,2021-3-28,1.68,1.68
17,2021-4-24,1.68,1.68
18,2021-5-15,1.78,1.78
19,2021-7-17,1.78,3.56
20,2021-8-15,1.78,1.78
21,2021-8-27,1.88,3.76
