,Date,Price per unit,Price
0,2020-7-11,2.28,2.28
1,2020-7-18,2.28,2.28
2,2020-8-22,2.28,2.28
3,2020-8-29,2.28,2.28
4,2020-9-16,2.28,2.28
5,2020-10-4,2.28,4.56
6,2020-10-31,2.28,2.28
7,2020-11-7,2.28,2.28
8,2020-11-28,2.28,4.56
9,2020-12-20,2.28,6.84
10,2021-1-3,2.28,2.28
11,2021-1-9,2.28,4.56
12,2021-1-16,2.28,4.56
13,2021-2-7,2.28,4.56
14,2021-2-14,2.28,4.56
15,2021-2-28,2.28,4.56
16,2021-3-13,2.28,4.56
17,2021-3-28,2.48,7.44
18,2021-4-10,1.98,3.96
19,2021-4-18,2.48,2.48
20,2021-4-24,2.48,4.96
21,2021-5-2,2.48,2.48
22,2021-5-15,2.48,4.96
23,2021-5-23,2.48,7.44
24,2021-5-30,2.48,2.48
25,2021-7-2,2.48,7.44
26,2021-7-17,2.27,4.54
27,2021-7-24,2.48,7.44
28,2021-8-15,2.48,7.44
29,2021-8-27,2.48,4.96
