,Date,Price per unit,Price
0,2018-2-4,3.56,3.56
1,2018-7-21,2.68,2.68
2,2018-8-25,1.68,1.68
3,2018-9-1,2.28,2.28
4,2018-11-17,1.68,3.36
5,2018-12-8,1.98,1.98
6,2018-12-29,1.75,3.5
7,2019-1-26,2.0,4.0
8,2019-3-2,2.28,4.56
9,2019-3-30,1.75,3.5
10,2019-5-11,1.75,1.75
11,2019-5-15,2.98,2.98
12,2019-6-22,2.98,5.96
13,2019-7-20,2.98,5.96
14,2019-8-18,2.98,5.96
15,2019-9-14,2.98,5.96
16,2019-10-15,2.98,5.96
17,2019-11-16,2.98,2.98
18,2020-1-4,2.98,2.98
19,2020-1-25,2.98,5.96
20,2020-3-3,2.98,2.98
21,2020-3-21,2.98,2.98
