,Date,Price per unit,Price
0,2018-2-4,2.31,2.31
1,2018-6-16,3.7,3.59
2,2018-6-24,3.7,2.22
3,2018-9-8,2.16,1.58
4,2018-9-22,2.17,1.26
5,2018-10-20,3.94,2.05
6,2018-11-10,3.96,2.73
7,2019-2-9,2.84,1.56
8,2019-2-23,3.27,1.39
9,2019-3-2,3.69,1.44
10,2019-7-13,6.55,5.34
11,2019-8-3,2.15,2.81
12,2019-8-10,3.04,1.64
13,2019-8-24,2.15,1.27
14,2019-9-14,2.17,1.31
15,2019-10-13,3.71,2.02
16,2019-11-9,6.56,3.51
17,2019-12-15,4.34,2.65
18,2020-3-3,6.57,3.32
19,2020-3-21,5.03,4.05
20,2020-4-4,4.32,2.57
21,2020-4-18,3.26,2.77
22,2020-5-2,6.57,6.04
23,2020-5-16,5.45,5.97
24,2020-5-30,4.34,4.3
25,2020-6-28,6.54,3.01
26,2020-8-22,5.46,2.54
27,2020-9-26,5.47,2.08
28,2020-10-4,3.69,3.14
29,2020-10-11,3.69,2.4
30,2020-10-18,5.45,1.39
31,2020-11-7,6.56,2.46
32,2020-11-14,5.46,2.73
33,2021-1-31,3.69,1.55
34,2021-2-28,4.34,2.32
35,2021-3-13,4.42,1.48
36,2021-3-28,4.33,2.25
37,2021-4-18,4.37,1.77
38,2021-5-2,4.38,2.67
39,2021-5-8,4.36,2.16
40,2021-7-31,3.92,2.57
41,2021-8-7,5.46,3.66
42,2021-8-27,5.47,2.87
