,Date,Price per unit,Price
0,2018-4-21,1.86,1.86
1,2018-6-30,2.46,2.46
2,2018-9-1,1.47,1.47
3,2018-10-14,1.97,1.97
4,2018-11-25,2.49,2.49
5,2019-1-13,2.98,2.98
6,2019-2-9,1.97,1.97
7,2019-4-7,3.98,3.98
8,2019-6-9,5.98,5.98
9,2019-7-2,5.98,5.98
10,2019-9-4,1.47,1.47
11,2019-11-3,2.98,2.98
12,2019-11-30,2.97,2.97
13,2020-1-4,2.47,2.47
14,2020-2-8,2.47,2.47
15,2020-3-21,2.98,2.98
16,2020-5-16,2.48,2.48
17,2020-6-20,1.98,1.98
18,2020-8-10,1.98,1.98
19,2020-11-14,2.47,2.47
20,2021-1-3,1.98,1.98
21,2021-2-7,2.98,2.98
22,2021-3-13,2.47,2.47
23,2021-4-10,1.5,1.5
24,2021-5-8,2.98,2.98
25,2021-5-23,1.48,1.48
26,2021-7-2,2.98,2.98
27,2021-7-17,2.47,2.47
