,Date,Price per unit,Price
0,2018-12-1,0.88,3.52
1,2019-12-31,0.98,0.98
2,2020-3-21,0.68,1.36
3,2020-4-4,0.98,1.96
4,2020-4-18,0.98,1.96
5,2020-5-2,0.98,0.98
6,2020-5-16,0.98,0.98
7,2020-5-30,0.78,0.78
8,2020-6-28,0.98,0.98
9,2020-7-25,0.98,0.98
10,2020-8-22,0.78,0.78
11,2020-9-26,0.98,0.98
12,2020-10-18,0.98,0.98
13,2020-11-7,0.98,0.98
14,2020-12-28,0.98,0.98
15,2021-1-31,0.78,0.78
16,2021-2-28,0.88,0.88
17,2021-3-13,0.78,0.78
18,2021-3-28,0.98,0.98
19,2021-4-18,0.98,0.98
20,2021-7-31,0.98,0.98
21,2021-8-27,0.88,0.88
