,Date,Price per unit,Price
0,2018-2-4,3.19,3.19
1,2018-4-14,3.19,3.19
2,2018-6-16,3.22,3.22
3,2018-12-1,3.22,3.22
4,2019-2-23,3.22,3.22
5,2019-3-10,3.22,3.22
6,2019-7-27,3.22,3.22
7,2019-9-4,3.22,3.22
8,2019-9-21,3.48,3.48
9,2019-11-9,3.48,3.48
10,2020-1-4,3.48,3.48
11,2020-2-2,3.48,3.48
12,2020-2-16,3.48,3.48
13,2020-5-2,3.48,6.96
14,2020-5-23,3.48,6.96
15,2020-6-6,3.48,3.48
16,2020-10-25,3.68,3.68
17,2021-2-28,3.88,3.88
18,2021-3-22,3.88,3.88
19,2021-4-18,3.88,3.88
20,2021-5-2,3.88,3.88
21,2021-5-15,3.88,3.88
22,2021-5-30,3.88,3.88
23,2021-6-26,3.88,3.88
24,2021-7-17,3.88,3.88
25,2021-8-7,4.15,4.15
