,Date,Price per unit,Price
0,2018-9-1,5.43,0.57
1,2018-9-8,5.47,1.04
2,2018-11-3,7.64,1.07
3,2019-1-13,2.18,0.48
4,2019-1-26,6.55,1.08
5,2019-3-10,6.6,0.99
6,2019-4-27,7.65,1.76
7,2019-8-3,5.47,1.23
8,2019-9-21,4.38,1.16
9,2019-11-3,6.59,1.68
10,2019-12-15,8.78,2.37
11,2019-12-31,8.75,1.4
12,2020-3-21,8.79,2.46
13,2020-4-18,8.76,6.88
14,2020-5-2,8.77,2.85
15,2020-5-16,4.35,1.35
16,2020-8-29,6.57,1.61
17,2020-9-19,6.58,1.25
18,2020-10-25,6.59,1.35
19,2021-3-6,8.78,2.24
20,2021-3-13,8.79,1.45
21,2021-3-28,6.58,1.94
22,2021-4-10,6.59,1.35
23,2021-4-18,6.59,1.12
24,2021-4-24,6.57,1.61
25,2021-5-30,8.78,2.24
26,2021-7-17,6.58,2.73
27,2021-8-15,4.35,2.24
28,2021-8-27,4.3,0.43
