,Date,Price per unit,Price
0,2018-3-24,1.97,1.97
1,2018-6-16,4.37,2.69
2,2018-7-28,5.0,2.9
3,2018-9-8,4.99,1.97
4,2018-12-15,5.46,1.42
5,2019-1-19,5.04,1.31
6,2019-3-8,3.88,1.01
7,2019-6-16,5.45,4.44
8,2019-9-21,5.45,2.86
9,2019-10-5,5.45,1.99
10,2019-12-15,5.43,1.25
11,2020-1-4,4.39,1.25
12,2020-5-23,4.13,1.28
13,2020-7-18,5.44,1.66
14,2020-10-4,4.36,0.98
15,2020-10-31,5.44,1.36
16,2020-11-14,5.46,1.12
17,2020-12-20,5.47,1.23
18,2021-1-9,5.46,1.31
19,2021-1-31,6.34,2.41
20,2021-3-13,6.34,1.3
21,2021-5-2,6.33,1.14
