,Date,Price per unit,Price
0,2018-2-4,5.98,5.98
1,2018-3-24,4.98,4.98
2,2018-4-14,6.48,6.48
3,2018-5-19,5.98,5.98
4,2018-5-26,5.98,5.98
5,2018-6-24,6.48,6.48
6,2018-9-1,6.48,6.48
7,2018-9-22,4.97,4.97
8,2018-9-29,4.98,4.98
9,2018-10-14,6.48,6.48
10,2018-10-20,5.0,5.0
11,2018-11-10,4.99,4.99
12,2018-12-8,4.98,4.98
13,2018-12-29,6.48,6.48
14,2019-1-13,5.98,5.98
15,2019-1-26,5.98,5.98
16,2019-2-9,6.48,6.48
17,2019-2-23,4.97,4.97
18,2019-3-16,6.48,6.48
19,2019-3-23,4.97,4.97
20,2019-4-20,4.97,4.97
21,2019-5-18,4.97,4.97
22,2019-6-16,4.97,4.97
23,2019-7-2,4.97,4.97
24,2019-7-20,4.97,9.94
25,2019-9-4,6.48,6.48
26,2019-10-13,4.96,4.96
