,Date,Price per unit,Price
0,2018-6-24,1.88,1.88
1,2018-7-21,1.88,1.88
2,2018-9-16,2.0,2.0
3,2018-10-14,2.18,2.18
4,2018-11-10,2.18,2.18
5,2019-3-2,2.18,2.18
6,2019-5-4,1.88,1.88
7,2019-7-2,1.57,1.57
8,2019-8-10,1.88,1.88
9,2019-10-5,3.48,3.48
10,2020-4-18,3.48,3.48
11,2020-6-20,1.88,1.88
12,2020-10-4,2.18,2.18
13,2020-12-20,2.18,2.18
14,2021-1-9,1.53,1.53
15,2021-1-31,2.18,2.18
16,2021-2-28,2.18,2.18
17,2021-5-30,1.97,1.97
18,2021-6-16,2.0,2.0
19,2021-7-10,2.0,2.0
20,2021-7-31,2.0,2.0
21,2021-8-22,1.97,1.97
