,Date,Price per unit,Price
0,2018-3-24,3.37,3.37
1,2018-5-19,2.97,2.97
2,2018-8-11,2.98,2.98
3,2018-10-20,3.37,3.37
4,2018-11-10,3.0,3.0
5,2019-1-13,2.36,4.72
6,2019-2-9,2.97,5.94
7,2019-3-30,2.97,5.94
8,2019-5-18,2.97,2.97
9,2019-7-2,3.37,3.37
10,2019-7-27,2.97,2.97
11,2019-9-21,3.37,3.37
12,2019-11-3,2.5,5.0
13,2020-1-25,3.01,6.02
14,2020-3-14,2.98,2.98
15,2020-4-4,2.5,5.0
16,2020-5-2,2.98,5.96
17,2020-5-30,3.0,6.0
18,2020-7-4,3.0,6.0
19,2020-7-25,3.37,3.37
20,2020-8-22,2.28,4.56
21,2020-9-26,2.48,2.48
22,2020-11-14,3.0,6.0
23,2020-12-20,2.98,2.98
24,2021-1-9,2.88,2.88
25,2021-2-7,2.45,4.9
26,2021-3-22,3.37,3.37
27,2021-4-6,2.96,2.96
28,2021-5-8,2.46,4.92
29,2021-6-9,2.96,5.92
30,2021-7-10,2.77,5.54
31,2021-7-31,2.87,2.87
32,2021-8-22,2.96,2.96
33,2021-8-27,2.28,2.28
