,Date,Price per unit,Price
0,2020-4-4,0.38,0.38
1,2020-4-18,0.35,0.7
2,2020-5-2,0.48,0.96
3,2020-5-30,0.58,1.74
4,2020-6-13,0.58,3.48
5,2020-6-28,0.48,2.4
6,2020-7-11,0.58,0.58
7,2020-8-10,0.58,0.58
8,2020-8-22,0.68,3.4
9,2020-8-29,0.68,0.68
10,2020-9-19,0.78,0.78
11,2020-9-26,0.78,0.78
12,2020-10-11,0.68,0.68
13,2020-10-25,0.68,0.68
14,2020-10-31,0.25,1.25
15,2020-11-28,0.68,0.68
16,2020-12-5,0.58,2.9
17,2021-1-16,0.78,3.9
18,2021-1-31,0.78,0.78
19,2021-2-7,0.37,0.37
20,2021-3-6,0.67,0.67
21,2021-3-28,0.67,0.67
22,2021-4-24,0.67,0.67
23,2021-5-15,0.48,0.48
24,2021-6-9,0.67,3.35
25,2021-7-17,0.77,0.77
26,2021-7-31,0.48,2.4
27,2021-8-15,0.68,0.68
