,Date,Price per unit,Price
0,2019-6-9,1.28,3.84
1,2019-10-13,1.48,1.48
2,2020-3-21,1.88,3.76
3,2020-5-23,1.88,5.64
4,2020-6-13,1.28,2.56
5,2020-9-26,1.68,5.04
6,2020-10-11,1.47,2.94
7,2020-11-28,1.28,2.56
8,2021-1-31,1.48,4.44
9,2021-2-7,0.96,1.92
10,2021-2-16,1.48,4.44
11,2021-2-28,0.98,2.94
12,2021-3-6,1.48,1.48
13,2021-3-13,1.27,3.81
14,2021-3-22,1.24,3.72
15,2021-4-10,1.24,2.48
16,2021-4-18,1.48,4.44
17,2021-5-8,1.28,1.28
18,2021-5-15,1.27,3.81
19,2021-6-16,1.28,2.56
20,2021-6-19,1.28,2.56
21,2021-7-2,1.28,2.56
22,2021-7-10,0.98,1.96
23,2021-7-17,0.98,3.92
24,2021-7-24,0.98,2.94
25,2021-7-31,1.28,3.84
