,Date,Price per unit,Price
0,2018-2-4,4.47,4.47
1,2018-3-24,4.47,4.47
2,2018-4-14,4.47,4.47
3,2018-4-21,4.47,4.47
4,2018-5-19,4.47,4.47
5,2018-6-16,4.26,4.26
6,2018-6-30,4.47,4.47
7,2018-7-14,4.47,4.47
8,2018-7-21,4.47,4.47
9,2018-8-19,4.57,4.57
10,2018-9-8,4.67,4.67
11,2018-9-16,4.67,4.67
12,2018-9-29,4.67,4.67
13,2018-10-7,4.58,4.58
14,2018-10-14,4.67,4.67
15,2018-10-20,4.67,4.67
16,2018-10-27,3.78,3.78
17,2018-11-10,4.67,4.67
18,2018-11-17,4.67,4.67
19,2018-11-25,4.67,4.67
20,2018-12-1,4.67,4.67
21,2018-12-15,4.67,4.67
22,2018-12-22,4.67,4.67
23,2018-12-29,4.67,4.67
24,2019-1-5,4.67,4.67
25,2019-1-19,4.67,4.67
26,2019-2-2,4.44,4.44
27,2019-2-9,4.67,4.67
28,2019-2-17,4.67,4.67
29,2019-3-2,4.67,4.67
30,2019-3-10,4.49,4.49
31,2019-3-23,4.49,4.49
32,2019-3-30,4.49,4.49
33,2019-4-7,4.49,4.49
34,2019-4-13,4.49,4.49
35,2019-4-27,4.75,4.75
36,2019-5-4,4.75,4.75
37,2019-5-11,4.49,4.49
38,2019-5-18,4.49,4.49
39,2019-6-9,4.49,4.49
40,2019-6-16,4.49,4.49
41,2019-6-22,4.49,4.49
42,2019-7-2,4.44,4.44
43,2019-7-6,4.49,4.49
44,2019-7-20,4.49,4.49
45,2019-8-3,4.49,4.49
46,2019-8-10,4.49,4.49
47,2019-8-17,4.49,4.49
48,2019-8-24,4.43,4.43
49,2019-9-4,4.49,4.49
50,2019-9-19,4.49,4.49
51,2019-9-21,4.49,4.49
52,2019-10-13,4.49,4.49
53,2019-10-20,4.27,4.27
54,2019-11-9,4.49,4.49
55,2019-11-24,4.49,4.49
56,2019-12-15,4.64,4.64
57,2019-12-22,4.64,4.64
58,2020-1-4,4.64,4.64
59,2020-1-11,4.64,4.64
60,2020-1-25,4.64,4.64
61,2020-2-2,4.64,4.64
62,2020-2-16,3.83,3.83
63,2020-3-3,3.83,3.83
64,2020-3-14,4.43,4.43
65,2020-4-18,4.74,4.74
66,2020-5-2,4.74,4.74
67,2020-5-16,4.74,4.74
68,2020-5-23,4.43,4.43
69,2020-6-6,4.74,4.74
70,2020-6-13,4.74,4.74
71,2020-6-20,4.74,4.74
72,2020-6-28,4.74,4.74
73,2020-7-11,4.74,4.74
74,2020-7-18,4.74,4.74
75,2020-8-22,4.48,4.48
76,2020-9-13,4.48,4.48
77,2020-9-26,4.48,4.48
78,2020-10-4,4.48,4.48
79,2020-11-14,4.48,4.48
80,2020-11-28,4.48,4.48
81,2020-12-20,4.45,4.45
82,2021-1-3,4.45,4.45
83,2021-1-16,4.45,4.45
84,2021-2-16,4.65,4.65
85,2021-2-28,4.65,4.65
86,2021-3-22,4.65,4.65
87,2021-4-10,4.65,4.65
88,2021-5-2,4.65,4.65
89,2021-6-9,4.65,4.65
90,2021-6-16,4.65,4.65
91,2021-6-19,4.65,4.65
92,2021-7-10,4.65,4.65
93,2021-7-17,4.65,4.65
94,2021-8-7,4.65,4.65
95,2021-8-15,4.65,4.65
96,2021-8-27,4.65,4.65
