,Date,Price per unit,Price
0,2018-4-21,2.08,2.08
1,2018-6-16,1.92,1.87
2,2018-6-30,1.92,1.59
3,2018-7-28,1.92,1.66
4,2018-8-25,1.92,1.83
5,2018-9-8,1.46,1.4
6,2018-10-14,1.92,1.51
7,2018-11-10,1.92,1.79
8,2018-11-17,1.92,1.43
9,2018-12-8,1.92,1.47
10,2018-12-22,1.92,2.08
11,2019-1-19,1.92,1.66
12,2019-2-2,1.92,2.15
13,2019-2-9,1.91,1.8
14,2019-2-17,1.92,1.96
15,2019-3-2,1.92,1.69
16,2019-4-7,1.91,1.8
17,2019-5-15,1.92,2.05
18,2019-6-9,1.92,2.04
19,2019-6-16,1.92,1.42
20,2019-7-6,1.92,1.98
21,2019-7-27,1.92,1.45
22,2019-8-17,1.92,0.95
23,2019-10-20,1.92,1.48
24,2019-11-9,1.92,1.58
25,2019-11-16,1.92,1.63
26,2019-11-30,1.92,2.4
27,2020-1-25,1.92,1.59
28,2020-2-16,1.92,1.86
29,2020-3-3,1.92,1.69
30,2020-5-2,1.92,2.25
31,2020-5-16,1.92,1.86
32,2020-5-30,1.92,2.28
33,2020-6-20,1.92,1.49
34,2020-6-28,1.92,1.77
35,2020-7-4,1.92,2.34
36,2020-7-18,1.91,1.57
37,2020-7-25,1.92,1.78
38,2020-8-22,1.7,1.8
39,2020-8-29,1.46,0.97
40,2020-9-5,1.92,2.48
41,2020-9-19,1.92,1.78
42,2020-10-11,1.93,1.55
43,2020-10-18,1.92,2.15
44,2020-10-31,1.92,2.21
45,2020-11-7,1.45,1.48
46,2020-11-14,1.92,1.84
47,2020-12-20,1.91,1.33
48,2020-12-28,1.92,2.51
49,2021-1-16,1.92,2.43
50,2021-1-23,1.92,2.11
51,2021-2-28,1.92,1.93
52,2021-3-6,1.92,2.42
53,2021-3-28,1.92,2.12
54,2021-4-24,1.92,1.94
55,2021-5-2,1.92,1.81
56,2021-5-15,1.92,2.06
57,2021-5-30,1.92,1.85
58,2021-6-9,1.92,1.76
59,2021-6-16,1.92,1.78
60,2021-6-26,1.92,2.44
61,2021-7-17,1.92,2.1
62,2021-7-24,1.92,2.51
63,2021-7-31,1.92,1.46
64,2021-8-7,1.92,1.72
65,2021-8-22,1.92,1.9
