,Date,Price per unit,Price
0,2018-6-30,3.23,1.21
1,2018-7-6,3.23,0.76
2,2018-9-16,3.26,3.03
3,2018-10-14,3.26,3.06
4,2018-10-27,3.25,0.99
5,2019-1-13,3.26,3.33
6,2019-4-27,3.27,1.29
7,2019-8-3,4.37,12.04
8,2019-8-17,4.37,1.29
9,2019-9-21,2.16,0.97
10,2019-10-13,4.37,1.42
11,2020-4-4,4.36,1.22
12,2020-6-13,4.37,3.19
13,2020-8-29,4.37,1.29
14,2020-9-5,3.69,2.66
15,2020-10-31,4.37,1.31
16,2020-12-5,4.36,1.33
17,2020-12-20,4.38,1.73
18,2020-12-23,4.38,1.6
19,2021-1-16,4.36,1.57
20,2021-5-15,4.38,1.6
21,2021-6-9,4.38,1.51
22,2021-7-17,4.37,2.01
23,2021-7-31,4.39,0.79
24,2021-8-7,4.39,1.25
