,Date,Price per unit,Price
0,2018-8-14,8.77,2.28
1,2018-8-19,8.75,2.1
2,2018-9-1,8.76,1.97
3,2018-9-8,8.76,1.97
4,2018-10-27,7.67,3.95
5,2018-11-3,8.76,2.41
6,2019-1-19,8.79,1.89
7,2019-2-23,9.89,6.08
8,2019-4-27,9.88,2.57
9,2019-5-4,8.76,1.62
10,2019-6-22,8.78,2.15
11,2019-6-26,8.75,1.75
12,2019-10-5,8.77,5.26
13,2019-11-16,8.76,4.6
14,2019-12-22,9.9,2.03
15,2020-3-21,8.77,4.43
16,2020-4-18,8.77,9.6
17,2020-5-2,8.77,4.12
18,2020-6-28,8.77,4.78
19,2020-7-11,8.79,1.89
20,2020-8-10,8.78,3.6
21,2020-9-5,8.77,1.93
22,2020-10-18,8.77,3.86
23,2020-10-25,8.77,4.43
24,2020-11-7,8.77,4.08
25,2020-11-14,8.76,5.17
26,2020-11-28,8.78,4.52
27,2020-12-23,8.76,1.84
28,2020-12-28,8.77,1.71
29,2021-4-24,8.75,2.32
30,2021-5-2,5.43,2.88
31,2021-6-19,8.78,4.52
32,2021-7-31,8.78,3.38
33,2021-8-15,6.56,1.41
34,2021-8-27,8.76,1.62
