,Date,Price per unit,Price
0,2018-8-14,2.3,2.3
1,2018-9-8,2.58,2.58
2,2018-9-29,2.58,2.58
3,2018-12-22,4.08,4.08
4,2019-2-2,4.08,4.08
5,2019-2-23,4.08,4.08
6,2019-5-18,4.08,4.08
7,2019-7-20,4.08,4.08
8,2019-8-17,2.58,5.16
9,2019-9-21,2.58,5.16
10,2019-9-29,4.18,4.18
11,2019-10-20,4.18,4.18
12,2019-11-24,2.48,2.48
13,2019-12-15,4.18,4.18
14,2019-12-22,1.97,1.97
15,2020-1-25,4.18,4.18
16,2020-3-21,4.23,4.23
17,2020-5-2,5.58,5.58
18,2020-6-6,4.23,4.23
19,2020-7-4,4.23,4.23
20,2020-7-25,4.23,4.23
21,2020-8-22,4.23,4.23
22,2020-8-29,4.23,4.23
23,2020-10-18,4.23,4.23
24,2021-1-9,4.23,4.23
25,2021-1-23,5.58,5.58
26,2021-3-13,2.48,2.48
27,2021-5-30,2.98,2.98
28,2021-8-15,4.3,4.3
