,Date,Price per unit,Price
0,2018-4-14,1.27,1.27
1,2018-6-24,7.67,2.07
2,2018-6-30,4.39,1.01
3,2018-8-14,7.67,2.07
4,2018-8-19,7.67,1.84
5,2018-10-14,7.66,2.72
6,2018-10-20,3.28,0.95
7,2018-10-27,4.97,0.92
8,2018-11-3,7.68,1.19
9,2018-11-10,7.65,1.3
10,2018-11-25,7.67,1.84
11,2019-1-5,3.48,3.48
12,2019-1-13,8.75,2.1
13,2019-3-16,4.37,0.94
14,2019-4-7,8.77,5.04
15,2019-4-20,8.76,3.33
16,2019-5-4,5.49,0.96
17,2019-5-11,8.76,3.46
18,2019-6-9,8.75,2.1
19,2019-6-22,8.76,2.98
20,2019-7-2,8.76,2.41
21,2019-9-21,8.77,6.4
22,2019-11-3,8.77,2.85
23,2019-11-9,8.79,2.46
24,2019-11-16,8.77,3.86
25,2020-1-4,8.77,4.65
26,2020-2-8,8.77,2.63
27,2020-2-16,8.74,1.18
28,2020-3-21,8.77,3.42
29,2020-4-4,8.75,2.1
30,2020-5-2,8.77,2.28
31,2020-5-16,8.76,2.41
32,2020-6-6,8.77,2.5
33,2020-6-20,8.77,2.63
34,2020-7-11,8.78,2.94
35,2020-8-10,8.76,3.24
36,2020-8-29,8.78,3.38
37,2020-9-5,8.76,1.49
38,2020-10-11,8.76,3.24
39,2020-10-31,8.77,6.18
40,2020-11-7,8.78,2.59
41,2020-12-28,8.77,3.2
42,2021-1-3,8.77,3.2
43,2021-1-23,8.79,2.46
44,2021-3-28,8.76,2.89
45,2021-4-10,7.67,1.65
46,2021-5-15,8.77,2.85
47,2021-7-2,8.76,4.82
48,2021-7-31,3.98,3.98
